Date,Message
2026-01-16T16:55:00.000-05:00,"2026-01-08 02:55,25786.5,25792,25782.5,25785.75,1365"
2026-01-16T16:55:00.000-05:00,"2026-01-08 03:00,25786,25788.5,25777.75,25786.75,1906"
2026-01-16T16:55:00.000-05:00,"2026-01-08 03:05,25786.5,25790.5,25781.5,25788.75,842"
2026-01-16T16:55:00.000-05:00,"2026-01-08 03:10,25789,25795.5,25786,25789.5,1603"
2026-01-16T16:55:00.000-05:00,"2026-01-08 03:15,25789.5,25793.5,25785.75,25788.5,853"
2026-01-16T16:55:00.000-05:00,"2026-01-08 03:20,25788.5,25789.75,25782.75,25785,1115"
2026-01-16T16:55:00.000-05:00,"2026-01-08 03:25,25785.5,25788.75,25779.5,25783.5,1182"
2026-01-16T16:55:00.000-05:00,"2026-01-08 03:30,25784,25790.75,25782.5,25784.25,1275"
2026-01-16T16:55:00.000-05:00,"2026-01-08 03:35,25784.5,25785.25,25775,25777.25,1319"
2026-01-16T16:55:00.000-05:00,"2026-01-08 03:40,25777.25,25783.5,25774.25,25775.5,1191"
2026-01-16T16:55:00.000-05:00,"2026-01-08 03:45,25775.75,25778.25,25769.25,25776,1910"
2026-01-16T16:55:00.000-05:00,"2026-01-08 03:50,25775,25779,25772.75,25778.25,771"
2026-01-16T16:55:00.000-05:00,"2026-01-08 03:55,25778.75,25781.75,25774.25,25776.25,885"
2026-01-16T16:55:00.000-05:00,"2026-01-08 04:00,25776.5,25782.75,25773,25778,1104"
2026-01-16T16:55:00.000-05:00,"2026-01-08 04:05,25777.75,25781.5,25776.25,25778.25,638"
2026-01-16T16:55:00.000-05:00,"2026-01-08 04:10,25779,25786.5,25779,25782.25,1226"
2026-01-16T16:55:00.000-05:00,"2026-01-08 04:15,25782.75,25786.25,25775.25,25778.25,1201"
2026-01-16T16:55:00.000-05:00,"2026-01-08 04:20,25777.75,25786,25776,25786,730"
2026-01-16T16:55:00.000-05:00,"2026-01-08 04:25,25786.25,25793.5,25783.25,25783.5,1811"
2026-01-16T16:55:00.000-05:00,"2026-01-08 04:30,25783.75,25786.75,25779.5,25781.75,799"
2026-01-16T16:55:00.000-05:00,"2026-01-08 04:35,25781.5,25783.25,25773.5,25780,949"
2026-01-16T16:55:00.000-05:00,"2026-01-08 04:40,25780,25781,25774.25,25775.75,554"
2026-01-16T16:55:00.000-05:00,"2026-01-08 04:45,25775.75,25781.5,25775.75,25775.75,761"
2026-01-16T16:55:00.000-05:00,"2026-01-08 04:50,25776.25,25779.5,25773.5,25776,616"
2026-01-16T16:55:00.000-05:00,"2026-01-08 04:55,25775.5,25779.25,25774.25,25778.25,630"
2026-01-16T16:55:00.000-05:00,"2026-01-08 05:00,25778.75,25784,25778,25782.75,616"
2026-01-16T16:55:00.000-05:00,"2026-01-08 05:05,25783.25,25784.5,25775,25779.5,759"
2026-01-16T16:55:00.000-05:00,"2026-01-08 05:10,25779.75,25779.75,25759.5,25760.25,2771"
2026-01-16T16:55:00.000-05:00,"2026-01-08 05:15,25760,25765.25,25759.5,25761.25,1277"
2026-01-16T16:55:00.000-05:00,"2026-01-08 05:20,25761.25,25768,25760.25,25766.75,928"
2026-01-16T16:55:00.000-05:00,"2026-01-08 05:25,25767,25767,25762,25762.75,490"
2026-01-16T16:55:00.000-05:00,"2026-01-08 05:30,25762.75,25763.75,25746.5,25748.75,2776"
2026-01-16T16:55:00.000-05:00,"2026-01-08 05:35,25748.75,25758.5,25748.5,25753.5,1208"
2026-01-16T16:55:00.000-05:00,"2026-01-08 05:40,25753.75,25754,25743.25,25747,1350"
2026-01-16T16:55:00.000-05:00,"2026-01-08 05:45,25747,25752.75,25746.75,25750,720"
2026-01-16T16:55:00.000-05:00,"2026-01-08 05:50,25751,25752.25,25742.25,25745,1002"
2026-01-16T16:55:00.000-05:00,"2026-01-08 05:55,25745.25,25748.25,25737.5,25737.75,1306"
2026-01-16T16:55:00.000-05:00,"2026-01-08 06:00,25738.5,25742,25705.5,25706.5,6226"
2026-01-16T16:55:00.000-05:00,"2026-01-08 06:05,25706.25,25708,25689,25702.25,5101"
2026-01-16T16:55:00.000-05:00,"2026-01-08 06:10,25702.5,25705.25,25687.25,25694,2529"
2026-01-16T16:55:00.000-05:00,"2026-01-08 06:15,25694.5,25695.5,25677,25678.5,3531"
2026-01-16T16:55:00.000-05:00,"2026-01-08 06:20,25678.5,25691,25671.75,25681,4540"
2026-01-16T16:55:00.000-05:00,"2026-01-08 06:25,25680.5,25683.5,25671,25674.75,2131"
2026-01-16T16:55:00.000-05:00,"2026-01-08 06:30,25675.25,25692.25,25671.5,25683.5,3301"
2026-01-16T16:55:00.000-05:00,"2026-01-08 06:35,25683,25694.5,25676.75,25691.75,2256"
2026-01-16T16:55:00.000-05:00,"2026-01-08 06:40,25691.75,25701.25,25687.75,25699.5,2063"
2026-01-16T16:55:00.000-05:00,"2026-01-08 06:45,25699.75,25709.75,25698.25,25707.5,2013"
2026-01-16T16:55:00.000-05:00,"2026-01-08 06:50,25707.25,25709.5,25696.25,25704.75,1825"
2026-01-16T16:55:00.000-05:00,"2026-01-08 06:55,25705,25709.25,25703.5,25705,1022"
2026-01-16T16:55:00.000-05:00,"2026-01-08 07:00,25705.5,25707.25,25680.25,25692.5,3322"
2026-01-16T16:55:00.000-05:00,"2026-01-08 07:05,25693.25,25707,25690.75,25707,1847"
2026-01-16T16:55:00.000-05:00,"2026-01-08 07:10,25707.5,25717.25,25703.75,25716.25,2184"
2026-01-16T16:55:00.000-05:00,"2026-01-08 07:15,25716.5,25720,25713,25718.75,1553"
2026-01-16T16:55:00.000-05:00,"2026-01-08 07:20,25718,25804.5,25709.5,25786.25,12327"
2026-01-16T16:55:00.000-05:00,"2026-01-08 07:25,25787.75,25794.25,25752.5,25758.5,5810"
2026-01-16T16:55:00.000-05:00,"2026-01-08 07:30,25758,25765.25,25741.5,25764.75,4486"
2026-01-16T16:55:00.000-05:00,"2026-01-08 07:35,25764.5,25779.5,25763.25,25774.25,3179"
2026-01-16T16:55:00.000-05:00,"2026-01-08 07:40,25773.5,25778,25764.75,25772.25,2439"
